ID;Authors;Institution;Type of Institution;Country;Type of Study
SCP0061;Márcio Ribeiro  ;Federal University of Alagoas  ;Academy;Brazil  ;Primary Study
SCP0061;Carla Bezerra  ;Federal University of Ceará;Academy;Brazil  ;Primary Study
SCP0061;Larissa Bastos  ;Universidade Federal da Bahia  ;Academy;Brazil  ;Primary Study
SCP0061;Ivan Machado  ;Universidade Federal da Bahia  ;Academy;Brazil  ;Primary Study
SCP0061;Tássio Virgínio  ;Universidade Federal da Bahia  ;Academy;Brazil  ;Primary Study
SCP0062;Colin Kai-Uwe Becker  ;Fraunhofer Institute for Open Communication Systems;Academy;Germany  ;Primary Study
SCP0062;Ilie-Daniel Gheorghe-Pop  ;Fraunhofer Institute for Open Communication Systems;Academy;Germany  ;Primary Study
SCP0062;Nikolay Tcholtchev  ;Fraunhofer Institute for Open Communication Systems;Academy;Germany  ;Primary Study
SCP0063;Ana Díaz Muñoz;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0063;Enrique Moguel  ;University of Extremadura;Academy;Spain;Primary Study
SCP0063;Ignacio Garcia Rodriguez de Guzman;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0063;Jaime Alvarado-Valiente  ;University of Extremadura;Academy;Spain;Primary Study
SCP0063;Javier Romero-Álvarez  ;University of Extremadura;Academy;Spain;Primary Study
SCP0063;Jose Garcia-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0063;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0063;Moises Rodriguez Monje;University of Castilla-La Mancha;Academy;Spain;Primary Study
SCP0064;Jianjun Zhao  ;Kyushu University;Academy;Japan  ;Primary Study
SCP0065;Antonio Brogi  ;University of Pisa  ;Academy;Italy  ;Primary Study
SCP0065;Giuseppe Bisicchia  ;University of Pisa  ;Academy;Italy  ;Primary Study
SCP0065;Jose García-Alonso  ;University of Extremadura;Academy;Spain;Primary Study
SCP0065;Juan M. Murillo  ;University of Extremadura;Academy;Spain;Primary Study
SCP0066;﻿Mingsheng Ying;University of Technology Sydney;Academy;Australia  ;Primary Study
